depth,GR
2878.006,79.256
2878.13,82.888
2878.254,82.601
2878.378,78.456
2878.503,73.988
2878.627,73.81
2878.751,78.383
2878.875,83.563
2879,85.514
2879.124,85.267
2879.248,85.118
2879.372,85.719
2879.496,86.188
2879.621,85.542
2879.745,83.266
2879.869,80.408
2879.993,79.1
2880.117,79.627
2880.241,80.423
2880.366,80.499
2880.49,79.684
2880.614,78.408
2880.738,77.863
2880.863,78.784
2880.987,80.676
2881.111,81.619
2881.235,81.019
2881.359,79.876
2881.484,79.349
2881.608,79.894
2881.732,81.117
2881.856,81.746
2881.98,81.694
2882.104,81.818
2882.229,82.461
2882.353,83.189
2882.477,83.529
2882.601,83.332
2882.726,81.953
2882.85,79.198
2882.974,76.562
2883.098,76.379
2883.222,78.85
2883.347,81.866
2883.471,83.326
2883.595,82.821
2883.719,80.037
2883.844,73.668
2883.968,66.063
2884.092,62.871
2884.216,69.423
2884.34,81.058
2884.464,90.347
2884.589,93.708
2884.713,93.588
2884.837,91.113
2884.961,86.151
2885.085,80.566
2885.21,77.026
2885.334,75.301
2885.458,73.185
2885.582,70.604
2885.707,70.836
2885.831,75.6
2885.955,82.212
2886.079,86.705
2886.203,88.118
2886.327,88.812
2886.452,90.496
2886.576,93.18
2886.7,95.45
2886.824,95.667
2886.948,92.175
2887.073,86.74
2887.197,82.274
2887.321,80.55
2887.445,80.858
2887.57,83.338
2887.694,87.685
2887.818,91.877
2887.942,93.753
2888.066,93.61
2888.19,93.691
2888.315,95.12
2888.439,96.506
2888.563,97.019
2888.687,95.837
2888.812,92.459
2888.936,87.681
2889.06,85.222
2889.184,87.788
2889.308,94.614
2889.433,99.515
2889.557,98.903
2889.681,93.484
2889.805,87.767
2889.929,84.481
2890.053,84.295
2890.178,85.583
2890.302,86.771
2890.426,86.42
2890.55,85.69
2890.675,86.386
2890.799,88.573
2890.923,89.854
2891.047,89.599
2891.171,90.539
2891.296,93.559
2891.42,95.783
2891.544,93.281
2891.668,86.62
2891.792,80.24
2891.917,76.396
2892.041,74.415
2892.165,73.239
2892.289,72.562
2892.413,73.093
2892.538,76.116
2892.662,81.781
2892.786,87.392
2892.91,88.744
2893.034,86.127
2893.159,82.596
2893.283,79.927
2893.407,78.992
2893.531,83.138
2893.656,92.444
2893.78,102.284
2893.904,106.186
2894.028,104.464
2894.152,100.154
2894.276,95.859
2894.401,92.641
2894.525,90.969
2894.649,90.172
2894.773,89.514
2894.897,90.026
2895.022,93.812
2895.146,101.284
2895.27,108.793
2895.394,111.915
2895.519,109.12
2895.643,104.936
2895.767,104.637
2895.891,108.217
2896.015,110.612
2896.139,109.904
2896.263,106.223
2896.387,101.058
2896.512,95.489
2896.636,93.209
2896.76,96.051
2896.884,101.118
2897.008,101.531
2897.133,96.697
2897.257,90.702
2897.381,87.875
2897.505,88.199
2897.629,89.403
2897.753,88.757
2897.877,85.536
2898.001,81.223
2898.126,79.359
2898.25,81.171
2898.374,85.466
2898.498,89.821
2898.622,92.928
2898.747,93.851
2898.871,93.074
2898.995,91.418
2899.119,88.572
2899.243,83.873
2899.367,77.977
2899.491,73.831
2899.616,73.474
2899.74,76.221
2899.864,79.261
2899.988,82.241
2900.112,86.82
2900.236,92.664
2900.361,97.072
2900.485,97.306
2900.609,94.866
2900.733,93.093
2900.857,93.332
2900.981,94.117
2901.105,93.781
2901.23,93.095
2901.354,93.404
2901.478,93.824
2901.602,92.72
2901.726,90.674
2901.85,90.073
2901.975,91.611
2902.099,93.306
2902.223,92.683
2902.347,90.454
2902.471,88.695
2902.595,88.001
2902.719,87.217
2902.844,86.14
2902.968,86.417
2903.092,88.755
2903.216,92.196
2903.34,94.887
2903.464,95.466
2903.589,93.633
2903.713,90.882
2903.837,89.455
2903.961,88.72
2904.085,87.534
2904.209,86.551
2904.333,87.246
2904.458,89.475
2904.582,92.275
2904.706,95.17
2904.83,96.787
2904.954,94.209
2905.079,87.754
2905.203,79.783
2905.327,73.613
2905.451,71.286
2905.575,75.483
2905.699,84.25
2905.823,92.436
2905.948,94.735
2906.072,92.032
2906.196,88.296
2906.32,86.839
2906.444,85.266
2906.568,81.284
2906.693,76.383
2906.817,74.701
2906.941,78.66
2907.065,84.833
2907.189,89.864
2907.313,92.233
2907.438,92.096
2907.562,89.988
2907.686,86.934
2907.81,84.938
2907.934,84.911
2908.058,86.367
2908.182,87.092
2908.307,86.199
2908.431,85.092
2908.555,85.102
2908.679,87.113
2908.803,89.648
2908.927,90.148
2909.052,87.725
2909.176,85.675
2909.3,86.475
2909.424,89.437
2909.548,90.672
2909.672,88.61
2909.796,85
2909.921,83.306
2910.045,84.963
2910.169,86.819
2910.293,85.758
2910.417,82.458
2910.541,81.895
2910.666,85.616
2910.79,90.056
2910.914,91.942
2911.038,91.702
2911.162,91.731
2911.286,92.719
2911.41,93.719
2911.535,93.6
2911.659,92.117
2911.783,89.797
2911.907,88.317
2912.031,89.03
2912.156,90.501
2912.28,89.654
2912.404,85.223
2912.528,78.108
2912.652,71.192
2912.776,66.552
2912.9,65.836
2913.024,68.266
2913.149,71.189
2913.273,73.586
2913.397,75.911
2913.521,77.975
2913.645,78.651
2913.77,78.034
2913.894,78.282
2914.018,80.554
2914.142,83.39
2914.266,84.608
2914.39,83.537
2914.514,81
2914.638,79.669
2914.763,81.027
2914.887,84.899
2915.011,89.657
2915.135,94.243
2915.259,97.698
2915.384,99.062
2915.508,97.885
2915.632,95.321
2915.756,93.589
2915.88,92.236
2916.004,89.102
2916.128,84.873
2916.253,83.017
2916.377,85.024
2916.501,88.056
2916.625,89.84
2916.749,91.437
2916.873,94.452
2916.998,99.591
2917.122,105.001
2917.246,108.844
2917.37,109.246
2917.494,107.121
2917.618,104.48
2917.742,103.437
2917.867,104.28
2917.991,106.668
2918.115,108.331
2918.239,107.179
2918.363,102.604
2918.487,97.229
2918.612,93.311
